SetId,LogDim
0,3.871201010907891
1,3.4657359027997265
2,3.871201010907891
3,2.772588722239781
4,3.9889840465642745
5,2.772588722239781
6,3.5263605246161616
7,2.3978952727983707
8,2.772588722239781
9,3.7612001156935624
10,3.871201010907891
11,3.4011973816621555
12,3.6375861597263857
13,2.302585092994046
14,3.8501476017100584
15,1.3862943611198906
16,3.7612001156935624
17,3.295836866004329
18,3.6888794541139363
19,4.04305126783455
20,1.0986122886681098
21,3.4657359027997265
22,3.5263605246161616
23,2.70805020110221
24,3.2188758248682006
25,3.871201010907891
26,3.4657359027997265
27,3.4011973816621555
28,3.2188758248682006
29,2.995732273553991
30,3.044522437723423
31,3.5263605246161616
32,3.044522437723423
33,3.4011973816621555
34,3.9512437185814275
35,3.5263605246161616
36,1.3862943611198906
37,2.70805020110221
38,3.828641396489095
39,3.4011973816621555
40,3.828641396489095
41,3.871201010907891
42,3.4657359027997265
43,3.8501476017100584
44,3.4657359027997265
45,2.6390573296152584
46,2.70805020110221
47,3.6888794541139363
48,3.4011973816621555
49,3.5263605246161616
50,0.6931471805599453
51,1.3862943611198906
52,2.1972245773362196
53,2.1972245773362196
54,3.4657359027997265
55,3.7612001156935624
56,2.5649493574615367
57,4.0943445622221
58,3.6109179126442243
59,1.6094379124341003
60,3.7612001156935624
61,4.04305126783455
62,3.6888794541139363
63,3.871201010907891
64,3.7612001156935624
65,2.772588722239781
66,4.0943445622221
67,3.6109179126442243
68,3.9512437185814275
69,2.9444389791664403
70,3.4011973816621555
71,1.3862943611198906
72,1.0986122886681098
73,1.9459101490553132
74,2.1972245773362196
75,3.4657359027997265
76,4.04305126783455
77,3.7612001156935624
78,3.871201010907891
79,3.5263605246161616
80,4.0943445622221
81,3.7612001156935624
82,3.5263605246161616
83,3.6109179126442243
84,3.828641396489095
85,2.8903717578961645
86,2.302585092994046
87,3.871201010907891
88,2.5649493574615367
89,2.1972245773362196
90,2.302585092994046
91,2.3978952727983707
92,1.9459101490553132
93,4.0943445622221
94,2.3978952727983707
95,1.9459101490553132
96,3.295836866004329
97,3.5263605246161616
98,4.0943445622221
99,1.6094379124341003
100,3.6109179126442243
101,1.6094379124341003
102,2.1972245773362196
103,3.9512437185814275
104,4.0943445622221
105,3.4657359027997265
106,3.6888794541139363
107,3.7612001156935624
108,1.9459101490553132
109,3.295836866004329
110,2.4849066497880004
111,3.367295829986474
112,3.2188758248682006
113,3.7612001156935624
114,3.258096538021482
115,3.6375861597263857
116,2.3978952727983707
117,3.6109179126442243
118,3.871201010907891
119,3.828641396489095
120,2.0794415416798357
121,3.9512437185814275
122,3.6375861597263857
123,0.6931471805599453
124,3.044522437723423
125,3.6375861597263857
126,3.295836866004329
127,2.70805020110221
128,3.5263605246161616
129,0.6931471805599453
130,2.772588722239781
131,3.4011973816621555
132,2.1972245773362196
133,3.4011973816621555
134,2.995732273553991
135,3.828641396489095
136,3.4657359027997265
137,3.6375861597263857
138,4.04305126783455
139,3.8501476017100584
140,4.0943445622221
141,3.044522437723423
142,3.6109179126442243
143,2.70805020110221
144,3.6888794541139363
145,3.4011973816621555
146,2.5649493574615367
147,3.1354942159291497
148,2.995732273553991
149,3.4657359027997265
150,3.6888794541139363
151,3.4657359027997265
152,2.1972245773362196
153,3.6888794541139363
154,1.791759469228055
155,3.9889840465642745
156,3.828641396489095
157,2.772588722239781
158,4.04305126783455
159,2.772588722239781
160,4.0943445622221
161,2.302585092994046
162,2.5649493574615367
163,0.6931471805599453
164,2.8903717578961645
165,3.6888794541139363
166,2.6390573296152584
167,2.995732273553991
168,3.828641396489095
169,2.1972245773362196
170,3.258096538021482
171,3.6888794541139363
172,2.995732273553991
173,3.9512437185814275
174,3.6109179126442243
175,2.9444389791664403
176,3.4011973816621555
177,0.6931471805599453
178,3.7612001156935624
179,3.4011973816621555
180,3.4657359027997265
181,2.3978952727983707
182,4.04305126783455
183,4.04305126783455
184,3.258096538021482
185,3.4011973816621555
186,4.04305126783455
187,3.4657359027997265
188,3.8501476017100584
189,3.2188758248682006
190,2.6390573296152584
191,3.5263605246161616
192,3.9512437185814275
193,3.5263605246161616
194,3.7612001156935624
195,2.302585092994046
196,3.6109179126442243
197,2.70805020110221
198,2.302585092994046
199,3.295836866004329
