TestDataID,Rating
1,2.6611671447753906
2,3.8175160884857178
3,3.6669957637786865
4,3.3715744018554688
5,2.904569625854492
6,2.3062520027160645
7,3.6940574645996094
8,2.8625712394714355
9,2.642526865005493
10,3.490847110748291
11,2.811227321624756
12,2.8092284202575684
13,2.2697978019714355
14,2.8660764694213867
15,3.050055742263794
16,3.177098035812378
17,2.9939801692962646
18,2.0316953659057617
19,3.3425984382629395
20,2.0703542232513428
21,2.5354886054992676
22,1.0686782598495483
23,3.1415984630584717
24,2.799832344055176
25,2.8588781356811523
26,3.307753801345825
27,2.9816651344299316
28,3.5736913681030273
29,4.563879489898682
30,2.9269039630889893
31,2.0950229167938232
32,3.6197826862335205
33,3.584031105041504
34,2.3637866973876953
35,2.658616781234741
36,2.572068214416504
37,3.0311520099639893
38,3.956545352935791
39,2.5522773265838623
40,1.0
41,4.071871757507324
42,3.185513734817505
43,3.2787232398986816
44,2.689836025238037
45,2.67935848236084
46,3.8017191886901855
47,2.5878679752349854
48,3.5069637298583984
49,2.5994629859924316
50,3.0289032459259033
51,3.0110654830932617
52,2.8852639198303223
53,2.9547414779663086
54,4.299086093902588
55,2.8421075344085693
56,2.7763891220092773
57,2.7866437435150146
58,2.308546781539917
59,2.580766439437866
60,2.70712947845459
61,3.706359624862671
62,3.8446052074432373
63,3.448382616043091
64,1.9813696146011353
65,1.6060707569122314
66,1.4943044185638428
67,3.146810293197632
68,2.5680124759674072
69,1.60917329788208
70,3.320772409439087
71,3.3915343284606934
72,3.471633195877075
73,3.2940053939819336
74,2.3828604221343994
75,3.1481857299804688
76,2.7318778038024902
77,4.328218460083008
78,4.20704460144043
79,3.6047732830047607
80,3.2750909328460693
81,4.177420616149902
82,4.267222881317139
83,2.802201986312866
84,2.1668386459350586
85,4.587316513061523
86,3.9609179496765137
87,4.285773754119873
88,3.5968313217163086
89,3.388715982437134
90,4.472100734710693
91,4.991330623626709
92,4.668611526489258
93,3.189046621322632
94,3.55981707572937
95,4.483733177185059
96,4.064425945281982
97,4.376683235168457
98,3.2286760807037354
99,3.0095314979553223
100,3.0252177715301514
101,4.149219512939453
102,2.813410758972168
103,3.0123093128204346
104,3.205855131149292
105,4.572946548461914
106,4.205677509307861
107,3.3241357803344727
108,3.1250312328338623
109,2.589334487915039
110,4.203724384307861
111,4.494615077972412
112,4.157830715179443
113,4.528642654418945
114,4.547715663909912
115,2.9742066860198975
116,3.599919080734253
117,4.603151798248291
118,2.7586045265197754
119,3.437804698944092
120,4.4736552238464355
121,4.965150356292725
122,3.438985586166382
123,2.1954832077026367
124,3.7770988941192627
125,3.9531495571136475
126,3.814566135406494
127,3.0984952449798584
128,3.6338586807250977
129,4.477870941162109
130,3.9776861667633057
131,3.5396032333374023
132,3.458252191543579
133,3.1674139499664307
134,4.767465114593506
135,4.326954364776611
136,3.0414681434631348
137,2.678860664367676
138,3.072993278503418
139,4.139695167541504
140,3.8311233520507812
141,3.145294666290283
142,3.372283458709717
143,2.5897233486175537
144,4.624603748321533
145,4.3999199867248535
146,4.131505966186523
147,3.4843671321868896
148,4.865800857543945
149,3.4353795051574707
150,2.6393699645996094
151,3.08274507522583
152,2.900892734527588
153,3.981991767883301
154,3.788109064102173
